INVENTO,INVENTOR,PROFESIONAL_ASIGANDO_AL_INVENTO,EL_PROFESIONAL_ES_JEFE_DEL_AREA,FECHA_CONTRATO_PROFESIONAL,SALARIO,COMISION,AREA_INVEST_DEL_PROF,RANKING,ANIO_DEL_INVENTO,PAIS_DEL_INVENTO,PAIS_DEL_INVENTOR,REGION_DEL_PAIS,CAPITAL,POBLACION_DEL_PAIS,AREA_EN_KM2,FRONTERA_CON,NORTE,SUR,ESTE,OESTE
Acero inoxidable,Brearleuy,JAMES CLERK,,3-Dec-81,950,,Biología,6,1916,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Francia,,X,X,
Acero inoxidable,Brearleuy,JAMES CLERK,,3-Dec-81,950,,Biología,6,1916,Reino Unido,Reino Unido,Europa del Oeste,Londres,56009000,94222,Irlanda,,,,X
Adresógrafo,Duncan,JAMES CLERK,,3-Dec-81,950,,Biología,6,1892,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
Adresógrafo,Duncan,JAMES CLERK,,3-Dec-81,950,,Biología,6,1892,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Canada,X,,,
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Republica Checa,,,X,
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Belgica,,,,X
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Dinamarca,X,,,
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,BOSNIA,,,X,
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Holanda,,,,X
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Luexenburgo,,,,X
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Austria,,X,,
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Francia,,,,X
Aeroplano,Ohain,FORD ANALYST,,3-Dec-81,3000,,Química,4,1939,ALEMANIA,ALEMANIA,Europa del Este,Sarajevo,4477,51129,Suiza,,X,,
Aeroplano con motor,Wright bros,JAMES CLERK,,3-Dec-81,950,,Biología,6,1903,Estados Unidos,Estados Unidos,Norte America,Washingtown,234249000,3623420,Mexico,,X,,
